NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP	GSE10856_CTRL_VS_TNFRSF6B_IN_MACROPHAGE_UP		36	0.34060773	0.96213406	0.5795796	1.0	1.0	1423	tags=50%, list=45%, signal=90%	
GSE28737_BCL6_HET_VS_BCL6_KO_MARGINAL_ZONE_BCELL_UP	GSE28737_BCL6_HET_VS_BCL6_KO_MARGINAL_ZONE_BCELL_UP		15	0.38351315	0.96195096	0.55190134	1.0	1.0	920	tags=40%, list=29%, signal=56%	
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP	GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP		37	0.339431	0.96191615	0.5675676	1.0	1.0	239	tags=14%, list=8%, signal=14%	
GSE17721_12H_VS_24H_POLYIC_BMDC_DN	GSE17721_12H_VS_24H_POLYIC_BMDC_DN		53	0.3250619	0.9617789	0.5845846	1.0	1.0	1430	tags=49%, list=45%, signal=88%	
GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_UP	GSE15930_STIM_VS_STIM_AND_TRICHOSTATINA_24H_CD8_T_CELL_UP		27	0.3511594	0.9617754	0.561685	1.0	1.0	909	tags=37%, list=29%, signal=52%	
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_DN	GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_DN		16	0.38079697	0.9617347	0.5543033	1.0	1.0	1336	tags=56%, list=42%, signal=97%	
GSE14308_TH1_VS_TH17_UP	GSE14308_TH1_VS_TH17_UP		30	0.34544343	0.96171486	0.56713426	1.0	1.0	721	tags=27%, list=23%, signal=34%	
GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_DN	GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_DN		58	0.32363543	0.9613126	0.574	1.0	1.0	1343	tags=47%, list=43%, signal=80%	
GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_DN	GSE15750_DAY6_VS_DAY10_EFF_CD8_TCELL_DN		46	0.3298947	0.9610637	0.5505506	1.0	1.0	1418	tags=54%, list=45%, signal=97%	
GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP	GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP		50	0.3299073	0.96095634	0.5925926	1.0	1.0	1311	tags=50%, list=42%, signal=84%	
GSE18281_CORTEX_VS_MEDULLA_THYMUS_DN	GSE18281_CORTEX_VS_MEDULLA_THYMUS_DN		24	0.3560673	0.9609153	0.55431473	1.0	1.0	1100	tags=50%, list=35%, signal=76%	
